"position","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","gnd","pressure_counts","pressure_hPa","chain","depth_m","node_nr","ntc_C","time","msg","tlab"
10,2962749,-31.0794585981626,2958411,-31.0411096821322,-550,686856,686.856,"Kette 1",30,17,-31.0602841401474,2026-07-16 15:13:17,NA,"07-16 15:13"
11,1787285,-18.323421729722,1790696,-18.3704227651812,-477,684200,684.2,"Kette 2",1,33,-18.3469222474516,2026-07-16 15:13:17,NA,"07-16 15:13"
12,2592340,-27.6271811330335,2597176,-27.6748164193606,-538,684195,684.195,"Kette 2",3,4,-27.650998776197,2026-07-16 15:13:17,NA,"07-16 15:13"
13,2868097,-30.2323448018429,2871529,-30.2634491082813,-525,684356,684.356,"Kette 2",5,10,-30.2478969550621,2026-07-16 15:13:17,NA,"07-16 15:13"
14,2862681,-30.1831983337661,2865407,-30.2079442732773,-524,684441,684.441,"Kette 2",8,11,-30.1955713035217,2026-07-16 15:13:17,NA,"07-16 15:13"
15,2851680,-30.0831402530075,2854308,-30.1070711870532,-511,684814,684.814,"Kette 2",10,12,-30.0951057200303,2026-07-16 15:13:17,NA,"07-16 15:13"
16,NA,NA,NA,NA,-506,684992,684.992,"Kette 2",13,13,NA,2026-07-16 15:13:17,NA,"07-16 15:13"
17,2894383,-30.4698158914175,2893047,-30.4577882005187,-525,685758,685.758,"Kette 2",16,20,-30.4638020459681,2026-07-16 15:13:17,NA,"07-16 15:13"
18,2923925,-30.7346459026967,2921504,-30.713023474812,-530,685879,685.879,"Kette 2",21,21,-30.7238346887544,2026-07-16 15:13:17,NA,"07-16 15:13"
19,2947457,-30.9440749338136,2947078,-30.9407124851565,-522,686463,686.463,"Kette 2",26,22,-30.942393709485,2026-07-16 15:13:17,NA,"07-16 15:13"
20,2964128,-31.0916399563372,2967052,-31.1174541915187,-543,686491,686.491,"Kette 2",30,24,-31.104547073928,2026-07-16 15:13:17,NA,"07-16 15:13"
